gene,organ_system,evidence_sources,safetyome_scaled_score,tau_score_percentile,conservation_score_percentile,safetyome_scaled_score_percentile,median_tau_conservation_score,median_all_scores
RGS7,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(1), OpenTargets(70)",2.61,0.9039377716657253,0.9748225731195206,0.9820925093347558,0.939380172392623,0.9748225731195206
HOXA13,"Congenital, familial and genetic disorders","Clinvar(2), DisGenet(2), Diseases(2), GWAS(1), HPO(22), OpenTargets(4)",2.29,0.829657916062965,0.9784877581591808,0.9746939793423067,0.9040728371110729,0.9746939793423067
PROP1,Endocrine disorders,"Clinvar(2), DisGenet(1), Diseases(1), HPO(25), OpenTargets(7)",2.29,0.9871994793841016,0.06360354608187421,0.9746939793423067,0.5254015127329879,0.9746939793423067
CTNNA1,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(2), Diseases(2), OpenTargets(83)",3.41,0.124634709363719,0.9746138356130744,0.9917043636086538,0.5496242724883966,0.9746138356130744
PAX3,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Clinvar(1), Diseases(4), HPO(2), OpenTargets(116)",4.46,0.9150622528916283,0.974405098106628,0.9974195202039445,0.9447336754991282,0.974405098106628
MYOD1,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(3), Diseases(2), GWAS(1), OpenTargets(66)",3.34,0.9742884506765551,0.525023943419857,0.9910289360110285,0.7496561970482061,0.9742884506765551
SHOC2,"Congenital, familial and genetic disorders","Clinvar(1), DisGenet(6), Diseases(2), HPO(24), OpenTargets(5)",2.38,0.1552700081039267,0.9740735738316839,0.977007751830582,0.5646717909678053,0.9740735738316839
SMARCD1,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(4), GWAS(1), HPO(3), OpenTargets(51)",2.96,0.06108641732766877,0.9737850249257141,0.987218831614168,0.5174357211266915,0.9737850249257141
MESP2,"Congenital, familial and genetic disorders","Clinvar(4), DisGenet(2), Diseases(1), HPO(26), OpenTargets(2)",2.25,0.9871994793841016,0.2009282679698436,0.9737414532430916,0.5940638736769726,0.9737414532430916
NKX2-6,"Congenital, familial and genetic disorders","Clinvar(1), DisGenet(2), HPO(32), OpenTargets(4)",2.25,0.9871994793841016,0.1812885243486162,0.9737414532430916,0.5842440018663588,0.9737414532430916
HTR6,Psychiatric disorders,"DrugBank(30), GWAS(1), OpenTargets(2), PheGenI(1), TTD(1)",2.25,0.9871994793841016,0.04285258220574151,0.9737414532430916,0.5150260307949215,0.9737414532430916
EBF3,Nervous system disorders,"Clinvar(1), DisGenet(26), GWAS(1), HPO(23), OpenTargets(13)",3.31,0.6987365241521574,0.9735333120502935,0.9908176484035662,0.8361349181012254,0.9735333120502935
CNOT1,Nervous system disorders,"Clinvar(1), DisGenet(1), Diseases(1), GWAS(2), HPO(20), OpenTargets(7)",2.24,0.2099592347928587,0.9878379705802902,0.9731872562399119,0.5988986026865745,0.9731872562399119
UBR5,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(8), OpenTargets(119)",3.71,0.08058495616512365,0.9730237469610274,0.99399042624677,0.5268043515630756,0.9730237469610274
EPHA7,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(3), OpenTargets(76)",2.79,0.7673067950197686,0.9728272881314309,0.9850436083766877,0.8700670415755998,0.9728272881314309
NPR2,Musculoskeletal and connective tissue disorders,"Clinvar(2), DisGenet(13), DrugBank(2), HPO(34), OpenTargets(8)",3.16,0.4062952776208836,0.9725387392254611,0.9893524900764099,0.6894170084231723,0.9725387392254611
TACR3,Reproductive system and breast disorders,"DisGenet(2), DrugBank(2), GWAS(1), HPO(24), OpenTargets(5)",2.21,0.9871994793841016,0.6342489133370988,0.9725118286422866,0.8107241963606002,0.9725118286422866
OPRM1,Psychiatric disorders,"Diseases(4), DrugBank(23), GWAS(5), OpenTargets(1), TTD(1)",2.21,0.9871994793841016,0.4866407995874364,0.9725118286422866,0.736920139485769,0.9725118286422866
